Model,W-Kappa,ROC-AUC,Macro F1,Weighted F1
Stacking Ensemble (LGBM+XGB+RF → LogReg),0.6504,0.8183,0.5394,0.6287
LightGBM (fast-tuned),0.6461,0.8259,0.5321,0.6252
Voting Ensemble (LGBM+XGB+RF),0.6443,0.8294,0.5347,0.6248
LightGBM (baseline),0.6372,0.8264,0.5407,0.6278
XGBoost (fast-tuned),0.6327,0.8234,0.5291,0.6173
CatBoost (fast-tuned),0.6187,0.8176,0.5315,0.5999
CatBoost (baseline),0.6173,0.8159,0.533,0.6019
Random Forest,0.5892,0.8067,0.5198,0.5957
Logistic Regression,0.5226,0.7756,0.4733,0.531
Decision Tree (max_depth=4),0.4532,0.7103,0.341,0.3642
Dummy (stratified),-0.0336,0.4917,0.2388,0.2857
